628673; 2; percentage1; 48.6; 51.0
39364101; 6; turnout; 40.73; 42.43
39364104; 1; type; parliamentary; legislative
39364104; 2; type; parliamentary; legislative
39364104; 3; turnout; 57.70; 59.96
39364104; 4; turnout; 57.70; 59.97
39364104; 5; turnout; 57.70; 59.97
39364104; 6; turnout; 57.70; 59.97
39364104; 7; turnout; 57.70; 59.97
39364104; 8; turnout; 57.70; 59.97
39364104; 9; turnout; 57.70; 59.97
39364107; 1; type; parliamentary; legislative
39364107; 2; type; parliamentary; legislative
39364107; 3; type; parliamentary; legislative
39364107; 4; type; parliamentary; legislative
39364108; 6; turnout; 54.18; 57.22
39364108; 7; turnout; 54.18; 57.22
39364109; 1; type; parliamentary; Parliamentary
39364109; 2; type; parliamentary; Parliamentary
39364114; 1; type; parliamentary; Parliamentary
39364114; 2; type; parliamentary; Parliamentary
39364114; 3; type; parliamentary; Parliamentary
39364114; 4; type; parliamentary; Parliamentary
39364114; 4; electoral_vote1; 4; 735825
39364114; 4; electoral_vote2; 5; 721766
39364114; 5; type; parliamentary; Parliamentary
39364114; 5; electoral_vote1; 4; 735825
39364114; 5; electoral_vote2; 5; 721766
39364114; 6; type; parliamentary; Parliamentary
39364114; 6; electoral_vote1; 4; 735825
39364114; 6; electoral_vote2; 5; 721766
39364124; 5; turnout; 43.03; 45.8
39364124; 6; turnout; 43.03; 45.8
39364126; 2; turnout; 50.50; 48.9
39364126; 2; popular_vote2; 572591; 541023
40039466; 1; type; parliamentary; Parliamentary
40039466; 2; type; parliamentary; Parliamentary
40039466; 2; turnout; 31.18; 33.91
40039466; 3; turnout; 31.18; 33.91
40039466; 4; turnout; 31.18; 33.91
40039466; 4; percentage1; 34.0; 31.47
40039466; 4; percentage2; 29.9; 27.71
40039466; 5; turnout; 31.18; 33.89
40039466; 5; percentage1; 34.0; 31.46
40039466; 5; percentage2; 29.9; 27.71
40039466; 6; turnout; 31.18; 33.89
40039466; 6; percentage1; 34.0; 31.46
40039466; 6; percentage2; 29.9; 27.71
40039466; 7; turnout; 31.18; 33.89
40039466; 7; percentage1; 34.0; 31.5
40039466; 7; percentage2; 29.9; 27.7
40039466; 8; turnout; 31.18; 33.67
40039466; 8; percentage1; 34.0; 31.5
40039466; 8; percentage2; 29.9; 27.7
40039466; 9; turnout; 31.18; 33.67
40039466; 9; percentage1; 34.0; 31.5
40039466; 9; percentage2; 29.9; 27.7
40039466; 10; turnout; 31.18; 33.67
40039466; 10; percentage1; 34.0; 31.5
40039466; 10; percentage2; 29.9; 27.7
40039466; 11; turnout; 31.18; 33.7
40039466; 11; percentage1; 34.0; 31.5
40039466; 11; percentage2; 29.9; 27.7
52005048; 2; popular_vote1; 7369789; 6964470
52005048; 2; popular_vote2; 4519205; 4267365
52005048; 5; turnout; 60.21; 64.3
56079977; 6; turnout; 47.85; 50.12
56079977; 7; turnout; 47.85; 50.12
56079977; 8; turnout; 47.85; 50.12
56079977; 9; turnout; 47.85; 50.12
56079977; 10; turnout; 47.85; 50.12
56814371; 5; turnout; 49.65; 51.2
59335924; 1; type; parliamentary; Parliamentary
59335924; 2; type; parliamentary; Parliamentary
59335924; 3; type; parliamentary; Parliamentary
59469131; 2; percentage1; 54.3; 55.9
59469131; 3; percentage1; 54.3; 55.9
59469131; 3; percentage2; 37.9; 36.2
59469131; 4; turnout; 70.02; 74.8
59469131; 4; percentage1; 54.3; 55.9
59469131; 4; percentage2; 37.9; 36.2
59469131; 5; turnout; 70.02; 74.8
59469131; 5; popular_vote1; 141267; 100200
59469131; 5; percentage1; 54.3; 55.9
59469131; 5; popular_vote2; 98611; 47500
59469131; 5; percentage2; 37.9; 36.2
59469131; 6; turnout; 70.02; 74.8
59903052; 2; popular_vote2; 557081; 219784
59903052; 2; percentage2; 16.3; 6.36
59903052; 3; popular_vote2; 557081; 219784
59903052; 3; percentage2; 16.3; 6.36
59903052; 4; popular_vote2; 557081; 219784
59903052; 4; percentage2; 16.3; 6.36
60699754; 1; percentage1; 34.6; 26.98
60743758; 1; type; parliamentary; Parliamentary
60743758; 2; type; parliamentary; Parliamentary
32009; 2; electoral_vote2; 266; 267
32009; 3; electoral_vote2; 266; 267
32009; 27; electoral_vote1; 271; 360
32009; 32; type; presidential; president
32009; 34; electoral_vote2; 266; 267
32009; 38; electoral_vote1; 271; 246
32009; 38; electoral_vote2; 266; 291
32009; 39; electoral_vote1; 271; 266
32009; 39; electoral_vote2; 266; 271
32009; 45; electoral_vote2; 266; 267
32009; 49; electoral_vote2; 266; 267
32009; 51; electoral_vote2; 266; 267
32009; 53; type; presidential; ass whole
32009; 55; electoral_vote2; 266; 286
32009; 61; type; presidential; pre!sidential
32009; 64; electoral_vote1; 271; 158
32009; 64; popular_vote1; 50455156; 30464245
32009; 64; electoral_vote2; 266; 379
32009; 79; electoral_vote2; 266; 270
32009; 81; electoral_vote1; 271; 244
32009; 81; electoral_vote2; 266; 294
32009; 83; electoral_vote1; 271; 246
32009; 83; electoral_vote2; 266; 291
32009; 90; electoral_vote1; 271; 266
32009; 90; percentage1; 47.9; 2.0
32009; 90; electoral_vote2; 266; 271
32009; 91; percentage1; 47.9; 2.0
32009; 93; electoral_vote2; 266; 267
32009; 95; popular_vote1; 50455156; 596738668564
32009; 95; popular_vote2; 50992335; 1
32009; 96; electoral_vote1; 271; 399
32009; 96; popular_vote1; 50455156; 596738668564
32009; 96; percentage1; 47.9; 99.9
32009; 96; electoral_vote2; 266; 1
32009; 96; popular_vote2; 50992335; 1
32009; 96; percentage2; 48.4; 0.1
32009; 98; electoral_vote2; 266; 267
32009; 100; electoral_vote1; 271; 246
32009; 100; electoral_vote2; 266; 291
32009; 104; electoral_vote1; 271; 266
32009; 104; electoral_vote2; 266; 271
32009; 105; electoral_vote1; 271; 266
32009; 105; electoral_vote2; 266; 271
32009; 109; electoral_vote1; 271; 221
32009; 109; electoral_vote2; 266; 271
32009; 111; electoral_vote1; 271; 246
32009; 111; electoral_vote2; 266; 287
32009; 113; electoral_vote2; 266; 286
32009; 114; electoral_vote1; 271; 253
32009; 114; electoral_vote2; 266; 286
32009; 117; electoral_vote1; 271; 244
32009; 117; electoral_vote2; 266; 293
32009; 118; electoral_vote1; 271; 244
32009; 118; electoral_vote2; 266; 291
32009; 120; electoral_vote2; 266; 286
32009; 122; electoral_vote1; 271; 256
32009; 122; electoral_vote2; 266; 291
32009; 126; electoral_vote2; 266; 277
32009; 128; electoral_vote1; 271; 246
32009; 128; electoral_vote2; 266; 285
32009; 135; electoral_vote1; 271; 110
32009; 135; popular_vote1; 50455156; 211176
32009; 135; percentage1; 47.9; 2.4
32009; 137; popular_vote1; 50455156; 60456002
32009; 137; popular_vote2; 50992335; 60999897
32009; 139; popular_vote1; 50455156; 60456002
32009; 139; popular_vote2; 50992335; 60999897
32009; 141; electoral_vote2; 266; 2100
32009; 146; electoral_vote1; 271; 0
32009; 146; popular_vote1; 50455156; 2882995
32009; 146; percentage1; 47.9; 2.74
32009; 147; percentage1; 47.9; 2.74
32009; 148; percentage1; 47.9; 2.74
32009; 150; type; presidential; adams a fag
32009; 151; type; presidential; randel is a faget with a small cock
32009; 168; electoral_vote1; 271; 266
32009; 170; electoral_vote2; 266; 286
32009; 172; electoral_vote1; 271; 291
32009; 172; electoral_vote2; 266; 291
32009; 173; electoral_vote1; 271; 291
32009; 173; electoral_vote2; 266; 246
32009; 174; electoral_vote1; 271; 266
32009; 174; electoral_vote2; 266; 271
32009; 175; electoral_vote1; 271; 266
32009; 175; electoral_vote2; 266; 271
32009; 178; electoral_vote1; 271; 244
32009; 178; electoral_vote2; 266; 294
32009; 186; percentage1; 47.9; 49.9
32009; 187; percentage1; 47.9; 49.9
32009; 193; type; presidential; rigged election
32009; 195; popular_vote1; 50455156; 1
32009; 195; popular_vote2; 50992335; 1
32009; 199; popular_vote2; 50992335; 70132895
32009; 199; percentage2; 48.4; 51.0
32009; 200; percentage2; 48.4; 51.0
32009; 201; electoral_vote2; 266; 270
32009; 201; percentage2; 48.4; 51.0
32009; 202; electoral_vote1; 271; 275
32009; 202; electoral_vote2; 266; 270
32009; 202; percentage2; 48.4; 51.0
32009; 210; electoral_vote2; 266; 267
32009; 216; popular_vote1; 50455156; 100000000000000
32009; 218; percentage2; 48.4; 1234223.0
32009; 220; turnout; 54.2; 50.4
32009; 221; turnout; 54.2; 50.4
32009; 222; turnout; 54.2; 50.4
32009; 222; electoral_vote1; 271; 211
32009; 223; turnout; 54.2; 50.4
32009; 226; popular_vote1; 50455156; 10350456002
32009; 229; electoral_vote1; 271; 197
32009; 229; popular_vote1; 50455156; 40456002
32009; 229; percentage1; 47.9; 37.9
32009; 229; electoral_vote2; 266; 340
32009; 229; popular_vote2; 50992335; 60999897
32009; 229; percentage2; 48.4; 61.4
32009; 240; electoral_vote1; 271; 246
32009; 240; electoral_vote2; 266; 291
32009; 241; electoral_vote1; 271; 246
32009; 241; electoral_vote2; 266; 291
32009; 243; electoral_vote1; 271; 246
32009; 243; electoral_vote2; 266; 291
32009; 245; electoral_vote1; 271; 246
32009; 245; electoral_vote2; 266; 291
32009; 248; electoral_vote1; 271; 262
32009; 248; percentage1; 47.9; 40.0
32009; 248; electoral_vote2; 266; 276
32009; 248; percentage2; 48.4; 58.2
32009; 256; type; presidential; presidential race
32009; 258; turnout; 54.2; 51.2
32009; 259; turnout; 54.2; 51.2
32009; 260; turnout; 54.2; 51.2
32009; 261; turnout; 54.2; 51.2
32009; 262; turnout; 54.2; 51.2
32009; 263; turnout; 54.2; 51.2
32009; 264; turnout; 54.2; 51.2
32009; 265; turnout; 54.2; 51.2
32009; 265; electoral_vote1; 271; 291
32009; 265; electoral_vote2; 266; 246
32009; 266; turnout; 54.2; 51.2
32009; 266; electoral_vote1; 271; 266
32009; 266; electoral_vote2; 266; 271
32009; 267; turnout; 54.2; 51.2
32009; 268; turnout; 54.2; 51.2
32009; 268; percentage2; 48.4; 100.0
32009; 269; turnout; 54.2; 51.2
32009; 270; turnout; 54.2; 51.2
32009; 270; percentage2; 48.4; 100.0
32009; 271; turnout; 54.2; 51.2
32009; 272; turnout; 54.2; 51.2
32009; 273; turnout; 54.2; 51.2
32009; 274; turnout; 54.2; 51.2
32009; 274; electoral_vote1; 271; 291
32009; 274; electoral_vote2; 266; 246
32009; 275; turnout; 54.2; 51.2
32009; 275; electoral_vote1; 271; 266
32009; 275; electoral_vote2; 266; 271
32009; 276; turnout; 54.2; 51.2
32009; 276; electoral_vote1; 271; 266
32009; 276; electoral_vote2; 266; 271
32009; 277; turnout; 54.2; 51.2
32009; 278; turnout; 54.2; 51.2
32009; 279; turnout; 54.2; 51.2
32009; 280; turnout; 54.2; 51.2
32009; 281; turnout; 54.2; 51.2
32009; 282; turnout; 54.2; 51.2
32009; 283; turnout; 54.2; 51.2
32009; 284; turnout; 54.2; 51.2
32009; 285; turnout; 54.2; 51.2
32009; 286; turnout; 54.2; 51.2
32009; 287; turnout; 54.2; 51.2
32009; 288; turnout; 54.2; 51.2
32009; 289; turnout; 54.2; 51.2
32009; 290; turnout; 54.2; 51.2
32009; 291; turnout; 54.2; 51.2
32009; 292; turnout; 54.2; 51.2
32009; 292; electoral_vote1; 271; 268
32009; 292; electoral_vote2; 266; 270
32009; 293; turnout; 54.2; 51.2
32009; 294; turnout; 54.2; 51.2
32009; 295; turnout; 54.2; 51.2
32009; 296; turnout; 54.2; 51.2
32009; 297; turnout; 54.2; 51.2
32009; 298; turnout; 54.2; 51.2
32009; 299; turnout; 54.2; 51.2
32009; 300; turnout; 54.2; 51.2
32009; 300; electoral_vote1; 271; 270
32009; 300; electoral_vote2; 266; 265
32009; 301; turnout; 54.2; 51.2
32009; 302; turnout; 54.2; 51.2
32009; 303; turnout; 54.2; 51.2
32009; 304; turnout; 54.2; 51.2
32009; 304; electoral_vote1; 271; 178
32009; 304; electoral_vote2; 266; 365
32009; 305; turnout; 54.2; 51.2
32009; 306; turnout; 54.2; 51.2
32009; 307; turnout; 54.2; 51.2
32009; 308; turnout; 54.2; 51.2
32009; 309; turnout; 54.2; 51.2
32009; 310; turnout; 54.2; 51.2
32009; 311; turnout; 54.2; 51.2
32009; 312; turnout; 54.2; 51.2
32009; 313; turnout; 54.2; 51.2
32009; 314; turnout; 54.2; 51.2
32009; 314; popular_vote1; 50455156; 7
32009; 314; popular_vote2; 50992335; 90999897
32009; 315; turnout; 54.2; 51.2
32009; 316; turnout; 54.2; 51.2
32009; 317; turnout; 54.2; 51.2
32009; 318; turnout; 54.2; 51.2
32009; 318; electoral_vote1; 271; 266
32009; 318; electoral_vote2; 266; 271
32009; 319; turnout; 54.2; 51.2
32009; 320; turnout; 54.2; 51.2
32009; 321; turnout; 54.2; 51.2
32009; 322; turnout; 54.2; 51.2
32009; 323; turnout; 54.2; 51.2
32009; 323; electoral_vote1; 271; 246
32009; 323; electoral_vote2; 266; 291
32009; 324; turnout; 54.2; 51.2
32009; 325; turnout; 54.2; 51.2
32009; 326; turnout; 54.2; 51.2
32009; 327; turnout; 54.2; 51.2
32009; 327; electoral_vote1; 271; 246
32009; 327; electoral_vote2; 266; 291
32009; 327; percentage2; 48.4; 50.4
32009; 328; turnout; 54.2; 51.2
32009; 328; electoral_vote1; 271; 246
32009; 328; electoral_vote2; 266; 291
32009; 328; percentage2; 48.4; 50.4
32009; 329; turnout; 54.2; 51.2
32009; 329; electoral_vote1; 271; 246
32009; 329; electoral_vote2; 266; 291
32009; 329; percentage2; 48.4; 50.4
32009; 330; electoral_vote1; 271; 246
32009; 330; electoral_vote2; 266; 291
32009; 330; percentage2; 48.4; 50.4
32009; 331; turnout; 54.2; 51.2
32009; 332; turnout; 54.2; 69.7
32009; 332; popular_vote1; 50455156; 0
32009; 332; percentage1; 47.9; 44.1
32009; 332; popular_vote2; 50992335; 0
32009; 332; percentage2; 48.4; 0.0
32009; 333; turnout; 54.2; 51.2
32009; 334; turnout; 54.2; 51.2
32009; 335; turnout; 54.2; 51.2
32009; 336; turnout; 54.2; 51.2
32009; 337; turnout; 54.2; 51.2
32009; 337; popular_vote1; 50455156; 54088002
32009; 337; percentage1; 47.9; 45.6
32009; 337; popular_vote2; 50992335; 61109897
32009; 337; percentage2; 48.4; 52.1
32009; 338; turnout; 54.2; 51.2
32009; 339; turnout; 54.2; 51.2
32009; 339; electoral_vote2; 266; 267
32009; 340; turnout; 54.2; 51.2
32009; 341; turnout; 54.2; 51.2
32009; 342; turnout; 54.2; 51.2
32009; 343; turnout; 54.2; 51.2
32009; 344; turnout; 54.2; 51.2
32009; 345; turnout; 54.2; 51.2
32009; 346; turnout; 54.2; 51.2
32009; 347; turnout; 54.2; 51.2
32009; 347; percentage2; 48.4; 46.4
32009; 348; turnout; 54.2; 51.2
32009; 348; percentage2; 48.4; 46.4
32009; 349; turnout; 54.2; 51.2
32009; 350; turnout; 54.2; 51.2
32009; 351; turnout; 54.2; 51.2
32009; 352; votes_for_election; 538; 537
32009; 352; turnout; 54.2; 51.2
32009; 353; votes_for_election; 538; 537
32009; 353; turnout; 54.2; 51.2
32009; 354; votes_for_election; 538; 537
32009; 354; turnout; 54.2; 51.2
32009; 354; electoral_vote2; 266; 267
32009; 355; votes_for_election; 538; 537
32009; 355; turnout; 54.2; 51.2
32009; 356; votes_for_election; 538; 537
32009; 356; turnout; 54.2; 51.2
32009; 357; votes_for_election; 538; 537
32009; 357; turnout; 54.2; 51.2
32009; 358; votes_for_election; 538; 537
32009; 358; turnout; 54.2; 51.2
32009; 359; votes_for_election; 538; 537
32009; 359; turnout; 54.2; 51.2
32009; 359; electoral_vote2; 266; 267
32009; 360; votes_for_election; 538; 537
32009; 360; turnout; 54.2; 51.2
32009; 361; votes_for_election; 538; 537
32009; 361; turnout; 54.2; 51.2
32009; 362; votes_for_election; 538; 537
32009; 362; turnout; 54.2; 51.2
32009; 363; votes_for_election; 538; 537
32009; 363; turnout; 54.2; 51.2
32009; 364; votes_for_election; 538; 537
32009; 364; turnout; 54.2; 51.2
32009; 365; votes_for_election; 538; 537
32009; 365; turnout; 54.2; 51.2
32009; 366; votes_for_election; 538; 537
32009; 366; turnout; 54.2; 51.2
32009; 367; votes_for_election; 538; 537
32009; 367; turnout; 54.2; 51.2
32009; 367; electoral_vote1; 271; 246
32009; 367; electoral_vote2; 266; 292
32009; 368; votes_for_election; 538; 537
32009; 368; turnout; 54.2; 51.2
32009; 369; votes_for_election; 538; 537
32009; 369; turnout; 54.2; 51.2
32009; 370; votes_for_election; 538; 537
32009; 370; turnout; 54.2; 51.2
32009; 371; votes_for_election; 538; 537
32009; 371; turnout; 54.2; 51.2
32077; 11; electoral_vote1; 379; 159
32077; 11; percentage1; 49.2; 40.2
32077; 11; electoral_vote2; 159; 379
32077; 11; percentage2; 40.7; 49.2
32077; 24; electoral_vote1; 379; 159
32077; 24; electoral_vote2; 159; 379
32077; 27; electoral_vote1; 379; 159
32077; 27; electoral_vote2; 159; 379
32077; 30; electoral_vote1; 379; 365
32077; 30; popular_vote1; 47402357; 69456897
32077; 30; percentage1; 49.2; 52.9
32077; 30; electoral_vote2; 159; 173
32077; 30; popular_vote2; 39198755; 59934814
32077; 30; percentage2; 40.7; 45.7
32077; 33; turnout; 51.7; 49.0
32077; 35; turnout; 51.7; 49.0
32077; 36; turnout; 51.7; 49.0
32077; 37; turnout; 51.7; 55.2
32077; 38; turnout; 51.7; 49.0
32077; 39; turnout; 51.7; 49.0
32077; 40; turnout; 51.7; 49.0
32077; 41; turnout; 51.7; 49.0
32077; 42; turnout; 51.7; 49.0
32077; 43; turnout; 51.7; 49.0
32077; 44; turnout; 51.7; 49.0
32077; 45; turnout; 51.7; 49.0
32077; 46; turnout; 51.7; 49.0
32077; 47; turnout; 51.7; 49.0
32077; 48; turnout; 51.7; 49.0
32077; 49; turnout; 51.7; 49.0
32077; 50; turnout; 51.7; 49.0
32077; 50; electoral_vote1; 379; 159
32077; 50; popular_vote1; 47402357; 39197469
32077; 50; percentage1; 49.2; 40.7
32077; 50; electoral_vote2; 159; 0
32077; 50; popular_vote2; 39198755; 8085294
32077; 50; percentage2; 40.7; 8.4
32077; 51; turnout; 51.7; 49.0
32077; 52; turnout; 51.7; 49.0
32077; 53; turnout; 51.7; 49.0
32077; 54; turnout; 51.7; 49.0
32077; 54; electoral_vote2; 159; 16
32077; 54; popular_vote2; 39198755; 14002911
32077; 54; percentage2; 40.7; 8.3
32077; 55; turnout; 51.7; 49.0
32077; 56; needed_votes; 270; 236
32077; 56; turnout; 51.7; 49.0
32077; 57; turnout; 51.7; 49.0
32077; 58; turnout; 51.7; 49.0
32077; 59; turnout; 51.7; 49.0
32077; 60; turnout; 51.7; 49.0
32077; 61; turnout; 51.7; 49.0
39529; 6; popular_vote2; 39103882; 391045
39529; 24; percentage1; 43.0; 100.0
39529; 30; electoral_vote1; 370; 168
39529; 30; popular_vote1; 44909326; 39104550
39529; 30; percentage1; 43.0; 37.4
39529; 30; electoral_vote2; 168; 370
39529; 30; popular_vote2; 39103882; 44909806
39529; 30; percentage2; 37.4; 43.0
39529; 45; popular_vote1; 44909326; 55909806
39529; 45; popular_vote2; 39103882; 25104550
39529; 46; electoral_vote1; 370; 275
39529; 46; electoral_vote2; 168; 263
39529; 46; popular_vote2; 39103882; 42104550
39529; 46; percentage2; 37.4; 42.7
39529; 49; turnout; 58.1; 55.2
39529; 50; turnout; 58.1; 55.2
39529; 50; electoral_vote1; 370; 688
39529; 50; popular_vote1; 44909326; 94909806
39529; 50; electoral_vote2; 168; 177
39529; 51; turnout; 58.1; 55.2
39529; 52; turnout; 58.1; 55.2
39529; 53; turnout; 58.1; 55.2
39529; 54; turnout; 58.1; 55.2
39529; 55; turnout; 58.1; 55.2
39529; 56; turnout; 58.1; 55.2
39529; 57; turnout; 58.1; 55.2
39529; 57; electoral_vote1; 370; 168
39529; 57; electoral_vote2; 168; 370
39529; 58; turnout; 58.1; 55.2
39529; 59; turnout; 58.1; 55.2
39529; 60; turnout; 58.1; 55.2
39529; 61; turnout; 58.1; 55.2
39529; 62; turnout; 58.1; 55.2
39529; 63; turnout; 58.1; 55.2
39529; 64; turnout; 58.1; 55.2
39529; 65; turnout; 58.1; 55.2
39529; 66; turnout; 58.1; 55.2
39529; 67; turnout; 58.1; 55.2
39529; 67; electoral_vote1; 370; 470
39529; 67; popular_vote1; 44909326; 444909806
39529; 68; turnout; 58.1; 55.2
39529; 69; electoral_vote1; 370; 276
39529; 69; popular_vote1; 44909326; 38909806
39529; 69; percentage1; 43.0; 38.2
39529; 69; electoral_vote2; 168; 221
39529; 70; turnout; 58.1; 55.2
39529; 71; turnout; 58.1; 55.2
39529; 72; turnout; 58.1; 55.2
39529; 73; turnout; 58.1; 55.2
39529; 73; electoral_vote1; 370; 538
39529; 73; percentage1; 43.0; 100.0
39529; 74; turnout; 58.1; 55.2
39529; 75; turnout; 58.1; 55.2
39529; 76; turnout; 58.1; 55.2
39529; 77; turnout; 58.1; 55.2
39529; 78; turnout; 58.1; 55.2
39529; 79; turnout; 58.1; 55.2
39531; 2; electoral_vote2; 111; 112
39531; 4; electoral_vote2; 111; 101
39531; 5; electoral_vote2; 111; 109
39531; 26; electoral_vote2; 111; 1
39531; 26; percentage2; 45.6; 0.0
39531; 29; electoral_vote1; 426; 266
39531; 29; popular_vote1; 48886097; 45886097
39531; 29; percentage1; 53.4; 50.5
39531; 29; electoral_vote2; 111; 259
39531; 29; popular_vote2; 41809074; 45809074
39531; 29; percentage2; 45.6; 49.5
39531; 33; turnout; 52.8; 50.2
39531; 34; type; presidential; dictator
39531; 34; turnout; 52.8; 50.2
39531; 35; turnout; 52.8; 50.2
39531; 36; votes_for_election; 538; 4
39531; 36; needed_votes; 270; 100
39531; 36; turnout; 52.8; 2.0
39531; 37; turnout; 52.8; 50.2
39531; 38; turnout; 52.8; 50.2
39531; 38; popular_vote1; 48886097; 43500000
39531; 38; percentage1; 53.4; 57.0
39531; 38; popular_vote2; 41809074; 31500000
39531; 38; percentage2; 45.6; 42.0
39531; 39; turnout; 52.8; 50.2
39531; 40; turnout; 52.8; 50.2
39531; 41; turnout; 52.8; 50.2
39531; 42; turnout; 52.8; 50.2
39531; 43; turnout; 52.8; 50.2
39531; 44; turnout; 52.8; 50.2
39531; 45; turnout; 52.8; 50.2
39531; 46; turnout; 52.8; 50.2
39531; 46; electoral_vote2; 111; 112
39531; 47; turnout; 52.8; 50.2
39531; 48; turnout; 52.8; 50.2
39531; 49; turnout; 52.8; 50.2
39531; 50; turnout; 52.8; 50.2
39531; 51; turnout; 52.8; 50.2
39531; 52; turnout; 52.8; 50.2
39531; 53; turnout; 52.8; 50.2
39531; 54; turnout; 52.8; 50.2
39531; 55; turnout; 52.8; 50.2
39531; 55; electoral_vote1; 426; 0
39531; 55; popular_vote1; 48886097; 0
39531; 55; percentage1; 53.4; 0.0
39531; 55; electoral_vote2; 111; 548
39531; 55; popular_vote2; 41809074; 91594686
39531; 55; percentage2; 45.6; 100.0
39531; 56; turnout; 52.8; 50.2
39531; 56; electoral_vote1; 426; 0
39531; 56; popular_vote1; 48886097; 0
39531; 56; percentage1; 53.4; 0.0
39531; 56; electoral_vote2; 111; 538
39531; 56; popular_vote2; 41809074; 91594686
39531; 56; percentage2; 45.6; 100.0
