player;line_nr;year;age;yrs_experience;team;position;games;minutes_played;vorp;salary;drb;orb;trb
Nate Robinson;14;1988;30;11;GSW;SG;49;972;5.62;24404083;12.95;1.75;7.35
Nate Robinson;15;1988;30;11;IND;PF;72;1925;5.44;23684686;7.01;3.79;5.4
Nate Robinson;16;1989;33;12;IND;SG;70;870;5.97;25802911;8.72;4.56;6.64
Nate Robinson;17;1990;32;13;IND;SG;66;2659;5.64;24484016;57.00;44.50;8.92
Nate Robinson;18;1990;32;13;CHI;SG;78;1720;5.64;24484016;13.4;4.79;9.1
Nate Robinson;19;1991;33;14;CHI;C;17;582;5.80;25123480;13.76;0.06;6.91
Nate Robinson;20;1991;33;14;DET;SF;56;2345;5.50;23924485;12.23;6.09;9.16
Nate Robinson;21;1992;34;12;TOR;SF;46;1537;6.20;26722140;13.7;6.81;10.26
Nate Robinson;22;1993;35;16;NYK;SF;6;37;4.89;21486529;13.78;7.04;10.41
Nate Robinson;23;1994;36;20;DEN;SG;90;1667;4.65;22445288;9.1;3.82;6.46
Nate Robinson;24;1995;37;18;LAC;SG;46;2585;3.89;17489879;8.73;2.83;5.78
Nate Robinson;25;1996;38;19;CHI;SG;30;1001;3.15;14532358;10.16;7.25;8.71
Nate Robinson;26;1997;39;20;CHI;SG;77;2597;4.70;20727165;11.34;6.37;8.86
Nate Robinson;27;1998;40;21;CHI;SG;32;500;4.77;21006931;5.84;4.02;4.93
Nate Robinson;28;1999;41;22;ORL;SG;40;264;5.10;22325825;13.12;3.85;8.49
Nate Robinson;29;2000;42;23;BRK;SG;7;264;4.65;20527333;17.18;27.15;11.72
Nate Robinson;30;2001;43;24;ORL;SG;52;2039;3.79;17090214;6.53;2.39;4.46
Nate Robinson;31;2001;43;24;DEN;SG;19;138;3.58;16250917;9.96;0.64;5.3
Nate Robinson;32;2002;44;25;ORL;SG;23;545;2.83;13253430;13.07;6.98;10.03
Nate Robinson;33;2003;45;26;LAL;SG;48;1896;3.12;14412458;8.32;1.45;4.89
Nate Robinson;34;2004;46;27;POR;SG;57;987;-34.02;7658120;10.31;2.46;6.39
Nate Robinson;35;2005;47;28;POR;SG;8;216;1.52;8017818;4.7;3.13;3.92
Juaquin Hawkins;1;1979;21;2;POR;PF;68;1854;0.35;3341738;19.58;5.64;12.61
Juaquin Hawkins;2;1980;22;3;CHA;PF;67;2557;-0.92;731751;13.42;4.54;8.98
Juaquin Hawkins;3;1980;22;3;WAS;PF;62;205;-1.15;991636;16.56;9.83;13.2
Juaquin Hawkins;4;1980;22;3;SAS;PF;78;1741;0.37;3421671;11.56;1.59;6.58
Juaquin Hawkins;5;1981;23;4;DET;PF;1;7;0.61;4380867;18.1;9.06;13.58
Juaquin Hawkins;6;1982;24;5;DET;PF;9;4;0.53;4061135;9.95;12.41;11.18
Juaquin Hawkins;7;1983;25;6;DET;PF;33;1426;-0.38;424183;15.78;4.81;10.3
Juaquin Hawkins;8;1984;26;7;DET;PF;84;234;-19.17;2222676;19.93;1.99;10.96
Juaquin Hawkins;9;1985;27;8;ORL;PF;80;2069;-0.90;969829;18.58;13.29;15.94
Juaquin Hawkins;10;1986;28;9;ORL;PF;14;319;0.60;4340900;13.61;9.63;11.62
Juaquin Hawkins;11;1987;29;10;ORL;PF;13;77;0.57;4221001;15.85;6.76;11.31
Juaquin Hawkins;12;1987;29;10;DET;PF;2;20;1.00;5939560;13.79;8.4;11.1
Juaquin Hawkins;13;1988;30;11;DET;PF;84;421;2.66;12573999;16.82;10.39;13.61
Juaquin Hawkins;14;1989;31;12;WSB;PF;23;878;1.28;7058622;22.01;12.64;17.33
Juaquin Hawkins;15;1990;32;13;BOS;PF;32;1270;1.21;6778857;25.39;4.59;14.99
Juaquin Hawkins;16;1991;35;14;LAL;PF;37;1736;0.55;4141068;8.81;9.79;9.3
Juaquin Hawkins;17;1991;33;17;MIL;SF;16;530;0.00;1942910;12.64;4.72;8.68
Juaquin Hawkins;18;1992;34;15;MIL;SF;14;122;0.69;4700599;48.54;11.86;16.1
Juaquin Hawkins;19;1993;35;16;DEN;PG;50;2379;0.41;3581537;7.3;1.84;4.57
Juaquin Hawkins;20;1994;36;16;DEN;SF;54;1227;-1.47;696847;10.76;6.87;8.82
Juaquin Hawkins;21;1995;37;18;NOH;SF;77;3242;-1.69;635150;-6.49;6.88;13.97
Juaquin Hawkins;22;1996;38;19;DEN;SF;50;1475;-1.51;611057;11.72;3.46;7.59
Juaquin Hawkins;23;1996;38;19;POR;PF;72;1960;-1.29;717577;18.21;9.92;14.07
Juaquin Hawkins;24;1997;39;20;CHA;PF;79;2417;-1.89;683348;19.39;15.58;14.06
Juaquin Hawkins;25;1998;38;21;POR;PF;25;844;-2.87;986858;19.88;8.31;14.1
Juaquin Hawkins;26;1999;41;22;HOU;PF;22;771;-3.00;1769362;16.75;5.07;10.91
Juaquin Hawkins;27;2000;42;23;ATL;SF;7;203;-3.00;649243;18.75;9.22;13.99
Juaquin Hawkins;28;2000;42;23;SAS;SF;44;199;-2.91;663747;21.47;14.05;17.76
Juaquin Hawkins;29;2001;43;24;SAS;SF;80;324;-1.36;695891;14.9;4.72;9.46
Juaquin Hawkins;30;2002;44;25;SAS;SF;17;255;-1.76;612694;11.38;1.83;6.61
Juaquin Hawkins;31;2003;45;26;SAS;SF;77;1867;-1.84;905565;15.08;8.57;11.83
Juaquin Hawkins;32;2003;45;26;MIL;PG;37;93;-2.19;852658;15.56;7.85;11.71
Juaquin Hawkins;33;2004;46;27;MIL;C;77;2084;-2.48;739291;33.6;16.92;25.26
Juaquin Hawkins;34;2005;47;28;MIL;C;92;1362;-6.50;919492;18.2;6.58;12.39
Juaquin Hawkins;35;2005;47;28;PHO;C;14;263;-2.88;616286;32.34;84.40;26.69
Jimmy Oliver;1;1979;17;1;PHO;SG;64;870;1.25;6938723;7.16;5.36;6.26
Jimmy Oliver;2;1980;18;-1;PHO;SG;17;343;2.04;10096076;14.17;2.2;8.19
Jimmy Oliver;3;1981;19;3;GSW;SG;13;126;1.95;9736378;8.88;6.78;7.83
Jimmy Oliver;4;1982;20;4;WSB;SG;32;1081;1.44;7711048;9.81;4.83;7.32
Jimmy Oliver;5;1983;21;5;WAS;SG;13;326;3.38;15451587;10.84;5.9;8.37
Jimmy Oliver;6;1984;22;6;WSB;SG;10;297;4.50;19927835;-36.89;0.37;5.54
Jimmy Oliver;7;1985;23;7;LAL;C;15;554;4.91;21566462;6.03;6.97;6.5
Jimmy Oliver;8;1986;24;8;DAL;SG;24;960;4.32;19208438;11.84;0.41;6.13
Jimmy Oliver;9;1986;24;5;IND;C;27;437;4.56;18547857;12.32;1.54;6.93
Jimmy Oliver;10;1987;25;9;IND;SG;87;284;4.37;19408271;10.44;7.09;8.77
Jimmy Oliver;11;1988;26;10;IND;SG;28;1154;4.79;21086864;13.47;5.14;9.31
Jimmy Oliver;12;1989;27;11;NYK;SG;39;702;5.43;23644720;10.3;6.5;8.4
Jimmy Oliver;13;1990;28;12;TOR;SG;49;995;6.13;26442375;9.15;29.81;5.18
Jimmy Oliver;14;1991;29;13;HOU;SG;46;117;5.88;23991167;10.18;6.2;8.19
Jimmy Oliver;15;1992;30;14;MIN;SG;31;3818;35.80;24044385;13.77;4.07;8.92
Jimmy Oliver;16;1993;31;15;BOS;SG;6;222;5.26;22965289;14.26;4.99;9.63
Jimmy Oliver;17;1994;32;16;NOP;SG;9;-840;4.42;19608103;4.62;5.03;4.83
Jimmy Oliver;18;1995;33;17;BOS;SF;80;1058;5.52;24004418;15.16;5.35;10.26
Jimmy Oliver;19;1996;34;18;BOS;PF;5;158;5.57;24204251;10.37;4.18;7.28
Jimmy Oliver;20;1997;35;19;NOP;PF;29;853;4.80;21126830;50.65;4.38;11.92
Jimmy Oliver;21;1998;36;20;MIN;SG;1;21;3.24;14892056;18.34;7.39;12.87
Jimmy Oliver;22;1999;37;21;MIN;PF;40;1780;2.42;11614803;18.21;9.47;13.84
Jimmy Oliver;23;2000;38;22;MIN;C;42;749;3.24;14892056;-10.54;10.34;19.38
Jimmy Oliver;24;2001;39;23;BOS;C;32;1166;3.67;16610616;34.58;10.48;22.53
Jimmy Oliver;25;2002;40;24;BOS;C;71;960;3.51;15971152;19.02;11.48;15.25
Jimmy Oliver;26;2003;41;25;BOS;C;88;198;4.41;19568137;29.42;-15.38;23.81
Jimmy Oliver;27;2004;42;26;MIL;C;15;685;3.74;16890381;17.98;22.57;20.28
Jimmy Oliver;28;2005;43;27;MIL;C;44;1949;25.62;17689711;30.7;14.28;22.49
Jimmy Oliver;29;2006;44;28;MIL;C;46;80;2.63;12454100;31.05;5.04;18.05
Jimmy Oliver;30;2007;45;29;SEA;PF;44;1928;2.80;13133530;10.4;8.69;9.55
Jimmy Oliver;31;2008;48;30;SEA;PF;14;171;2.64;12494066;26.21;4.66;15.44
Jimmy Oliver;32;2009;47;31;DET;SF;19;97;2.14;10495741;20.45;6.22;17.85
Jimmy Oliver;33;2010;48;32;DET;SF;77;2343;1.98;9856277;17.74;7.04;12.39
Jimmy Oliver;34;2011;49;33;ATL;SF;1;13;1.24;6898756;14.3;6.46;10.38
Jimmy Oliver;35;2012;50;29;ATL;SF;27;1017;1.07;5499063;16.11;39.50;9.06
Luke Ridnour;1;1978;17;2;MEM;PF;7;102;-1.09;724441;21.56;9.14;15.35
Luke Ridnour;2;1979;18;3;MEM;PF;5;37;-0.30;743915;22.21;4.53;13.37
Luke Ridnour;3;1980;19;4;MEM;PF;39;383;-0.20;1143580;17.63;7.88;12.76
Luke Ridnour;4;1981;20;5;DAL;PF;65;-5103;0.31;3181872;9.49;10.47;9.98
Luke Ridnour;5;1982;21;6;DAL;PG;44;2001;1.35;7338388;12.63;12.78;12.71
Luke Ridnour;6;1983;22;7;DAL;PF;69;694;1.46;7778019;19.25;6.85;13.05
Luke Ridnour;7;1984;23;8;GSW;PF;10;44;0.64;4500766;11.18;7.81;9.5
Luke Ridnour;8;1985;24;9;GSW;C;51;1007;0.92;5619828;16.6;9.33;12.97
Luke Ridnour;9;1986;25;10;GSW;PF;78;167;2.23;10855440;13.45;9.18;11.32
Luke Ridnour;10;1987;26;11;MIA;PF;75;249;2.41;11574837;20.06;10.45;15.26
Luke Ridnour;11;1988;27;12;MIA;PF;72;2977;1.94;9696411;18.46;5.15;11.81
Luke Ridnour;12;1989;28;13;MIA;PF;14;540;1.14;6499091;12.6;9.54;11.07
Luke Ridnour;13;1990;29;14;LAL;PF;90;550;1.92;9616478;22.14;8.84;15.49
Luke Ridnour;14;1990;29;14;CHI;PF;72;528;3.04;14092726;26.46;27.42;15.6
Luke Ridnour;15;1991;30;15;CHI;PF;4;136;2.51;11974502;16.58;6.26;11.42
Luke Ridnour;16;1992;31;16;MIL;PF;20;253;1.45;7738053;21.62;8.02;14.82
Luke Ridnour;17;1993;32;17;MIL;PF;20;49;1.00;5939560;12.02;10.36;11.19
Luke Ridnour;18;1993;32;17;ATL;PF;68;141;0.65;4540733;18.4;5.21;11.81
Luke Ridnour;19;1994;33;18;NJN;PF;10;-402;0.24;2902106;11.38;5.38;8.38
Luke Ridnour;20;1995;30;19;NJN;PF;61;1957;-0.16;1303446;82.42;10.11;14.49
Luke Ridnour;21;1996;35;20;IND;PF;57;955;0.04;2102776;14.66;16.17;15.42
Luke Ridnour;22;1997;36;21;DAL;PF;38;729;-1.12;648742;18.37;48.96;13.93
Luke Ridnour;23;1998;37;22;DET;PF;60;1820;-1.32;300139;15.4;7.54;11.47
Luke Ridnour;24;1998;37;22;CLE;PF;9;163;-2.96;923210;12.35;8.85;10.6
Luke Ridnour;25;1999;38;23;MIL;SF;30;705;-3.00;875678;14.45;3.85;9.15
Luke Ridnour;26;2000;39;24;MIN;SF;1;16;-3.00;896277;13.36;8.95;11.16
Luke Ridnour;27;2001;40;25;SAS;SF;55;1406;-3.00;717425;19.98;8.84;14.41
Luke Ridnour;28;2002;41;26;CLE;SF;68;4;-3.00;695579;15.27;1.49;8.38
Luke Ridnour;29;2003;42;27;CLE;SF;80;3524;-2.12;692944;10.68;1.64;6.16
Luke Ridnour;30;2003;42;27;ATL;PF;32;1065;-2.09;983656;16.27;9.02;12.65
Luke Ridnour;31;2004;43;28;SEA;C;41;1332;32.86;825757;14.44;13.74;4.89
Luke Ridnour;32;2005;44;29;SEA;C;65;319;-1.00;932437;10.36;6.3;8.33
Luke Ridnour;33;2005;44;29;NOJ;PF;26;923;-0.23;1023680;21.65;13.6;17.63
Luke Ridnour;34;2006;45;30;UTA;PF;43;423;-0.06;1703111;24.7;7.52;16.11
Luke Ridnour;35;2007;46;31;UTA;PF;28;364;-0.18;1223513;13.38;13.67;13.53
Gail Goodrich;1;1979;22;2;UTA;PG;9;401;-0.68;657953;5.04;3.65;4.35
Gail Goodrich;2;1980;23;3;UTA;PG;25;545;0.29;2400916;11.23;0.94;6.09
Gail Goodrich;3;1981;21;4;UTA;PG;71;2090;0.69;4700599;7.21;2.71;4.96
Gail Goodrich;4;1982;25;5;UTA;PG;35;1538;1.22;6818823;7.45;2.75;5.1
Gail Goodrich;5;1983;26;6;UTA;PG;29;1322;16.58;5300096;8.79;1.17;4.98
Gail Goodrich;6;1984;27;7;UTA;PG;54;1021;1.38;7458287;6.15;-7.74;3.11
Gail Goodrich;7;1985;28;8;UTA;PG;50;206;1.42;7618153;9.48;2.93;6.21
Gail Goodrich;8;1986;29;9;UTA;PG;30;1028;-37.89;7378354;10.7;1.7;6.2
Gail Goodrich;9;1987;30;10;UTA;PG;16;189;1.94;9696411;9.18;2.49;5.84
Gail Goodrich;10;1988;31;11;UTA;SG;48;627;0.41;3581537;10.28;2.74;6.51
Gail Goodrich;11;1989;32;11;UTA;SF;75;928;-0.82;792517;14.45;1.84;8.15
Gail Goodrich;12;1990;33;15;UTA;SG;26;81;-2.02;867202;7.09;3.77;5.43
Gail Goodrich;13;1991;34;14;UTA;PG;30;827;-1.65;-177630;4.44;2.06;3.25
Gail Goodrich;14;1991;34;14;LAC;PG;48;1838;-2.19;800733;10.28;2.49;5.47
Gail Goodrich;15;1992;35;15;LAC;PG;61;105;-3.00;869483;8.14;2.22;5.18
Gail Goodrich;16;1993;36;16;LAC;PG;60;1606;-3.00;833921;5.68;2.05;3.87
Gail Goodrich;17;1994;39;17;LAC;PG;7;3;-3.00;674349;7.42;-0.27;5.02
Gail Goodrich;18;1995;38;18;LAC;PG;12;472;-3.00;849932;9.72;2.45;6.09
Gail Goodrich;19;1996;39;19;LAC;PG;28;915;-3.00;617534;5.26;2.32;3.79
Gail Goodrich;20;1996;39;19;BOS;PG;16;624;-2.99;896300;8.37;2.37;5.37
Gail Goodrich;21;1997;40;20;BOS;PG;28;1001;-2.99;971852;10.94;0.83;5.89
Gail Goodrich;22;1997;40;20;MIN;PG;60;596;-3.00;885216;7.91;4.25;6.08
Gail Goodrich;23;1998;41;21;ATL;PG;5;141;-3.00;974651;3.19;4.95;4.07
Gail Goodrich;24;1999;42;22;ATL;PG;75;705;-1.86;-103664;9.97;2.74;6.36
Gail Goodrich;25;2000;43;23;ATL;PG;65;1260;-1.89;946879;8.33;4.42;6.38
Gail Goodrich;26;2000;45;23;SAS;PF;68;539;-2.06;842917;5.35;1.92;3.64
Gail Goodrich;27;2001;44;24;NOJ;PG;44;859;-2.10;997473;13.42;0.52;6.97
Gail Goodrich;28;2002;45;25;POR;PG;44;2465;-3.00;966825;37.59;0.84;4.86
Gail Goodrich;29;2003;46;26;IND;PG;21;457;-3.00;820749;5.7;1.81;3.76
Gail Goodrich;30;2004;47;27;IND;PG;13;109;-3.00;687244;2.47;3.48;2.98
Gail Goodrich;31;2005;48;28;IND;PG;58;2669;-3.00;890130;5.74;4.77;5.24
Gail Goodrich;32;2006;49;29;IND;PG;15;49;-3.00;630361;9.61;0.78;5.2
Gail Goodrich;33;2007;50;30;LAC;PG;41;1313;-3.00;862657;8.49;0.9;4.7
Gail Goodrich;34;2008;51;31;LAC;PG;58;1373;-3.00;854548;8.12;1.56;4.84
Gail Goodrich;35;2009;52;32;LAC;PG;4;137;-3.00;864157;12.75;3.35;8.05
Frank Johnson;1;1978;16;2;CHI;SG;28;481;1.03;6059460;13.57;4.96;9.27
Frank Johnson;2;1979;17;3;CHI;SG;74;3522;0.89;5499929;7.77;4.77;6.54
Frank Johnson;3;1980;18;4;NOP;SG;40;11;1.14;6499091;8.02;2.48;5.25
Frank Johnson;4;1981;19;5;CHI;SG;48;2068;1.93;9656445;7.18;-3.42;3.91
Frank Johnson;5;1982;20;6;CHI;PF;51;936;2.74;12893731;11.55;5.74;8.65
Frank Johnson;6;1983;21;7;CHI;SG;11;413;2.43;11654770;7.54;2.68;5.11
Frank Johnson;7;1984;22;8;GSW;SG;45;1878;2.63;12454100;5.25;4.85;5.05
Frank Johnson;8;1985;23;9;HOU;C;7;131;1.69;8697249;11.31;0.65;5.98
Frank Johnson;9;1986;24;10;VAN;SG;63;1906;0.86;5380029;12.66;4.01;8.34
Frank Johnson;10;1987;25;11;VAN;SG;54;1318;2.03;10056109;11.54;5.58;8.56
Frank Johnson;11;1988;26;12;CLE;SG;79;1840;1.21;6778857;8.31;5.61;6.96
Frank Johnson;12;1989;27;13;NOJ;SG;13;199;0.80;4890772;11.68;4.85;8.27
Frank Johnson;13;1990;28;14;NYK;SF;25;84;0.89;5499929;12.03;8.01;10.02
Frank Johnson;14;1991;29;15;NYK;PG;98;160;3.28;15051922;9.88;9.33;9.61
Frank Johnson;15;1991;29;15;CHI;SF;53;2061;2.02;10016143;7.42;0.55;3.99
Frank Johnson;16;1992;30;16;CHI;SF;22;264;1.30;7138555;6.33;10.37;8.35
Frank Johnson;17;1993;31;17;CHI;SF;78;2640;1.55;8137718;8.99;1.15;5.07
Frank Johnson;18;1994;32;18;CHI;SF;26;454;0.52;4021168;11.29;5.49;8.39
Frank Johnson;19;1995;33;19;CHI;SF;8;346;-0.42;264317;12.94;2.93;7.94
Frank Johnson;20;1996;34;20;OKC;SF;44;1090;0.38;3461637;7.58;5.97;6.78
Frank Johnson;21;1997;35;21;CHI;PF;25;1097;1.69;8697249;11.36;8.04;9.7
Frank Johnson;22;1998;36;22;CHI;PF;90;510;1.86;9376679;20.69;1.04;10.87
Frank Johnson;23;1999;37;23;CHI;SF;49;1763;1.02;6019493;-4.83;4.68;8.32
Frank Johnson;24;2000;38;24;CHI;SF;24;-140;0.79;5100264;39.15;10.28;14.55
Frank Johnson;25;2001;39;25;CHI;SF;75;1298;0.38;3461637;12.13;3.74;7.94
Frank Johnson;26;2002;40;26;CHI;SG;37;23;0.68;4660632;6.84;2.99;4.92
Frank Johnson;27;2003;41;27;CHI;SF;13;2;1.46;7778019;13.3;0.57;6.94
Frank Johnson;28;2004;42;28;CHI;SF;95;164;2.57;7055690;16.02;6.02;11.02
Frank Johnson;29;2005;43;29;CHI;PF;91;86;0.91;5579862;25.4;1.82;13.61
Frank Johnson;30;2005;43;29;TOR;PF;37;1678;0.81;5180197;-43.78;10.7;11.06
Frank Johnson;31;2006;44;30;TOR;PF;76;2600;0.30;3141905;17.28;7.49;12.39
Frank Johnson;32;2007;45;31;NOH;SF;51;244;-0.10;1543245;15.22;1.2;8.21
Frank Johnson;33;2008;46;32;NOH;SF;41;1682;1.09;6299259;15.25;7.23;11.24
Frank Johnson;34;2009;47;33;GSW;PF;35;1527;0.52;4021168;13.88;9.21;11.55
Frank Johnson;35;2010;48;34;PHI;PF;9;-838;0.37;3421671;11.99;11.14;11.57
Brendan Haywood;1;1978;16;1;DET;C;49;1138;0.67;4620666;28.97;21.74;25.36
Brendan Haywood;2;1978;16;1;CHI;C;46;1989;-1.12;673632;11.59;27.95;19.77
Brendan Haywood;3;1979;17;2;CHI;C;8;256;-1.89;740494;28.0;16.87;22.44
Brendan Haywood;4;1980;18;3;VAN;C;59;2639;-1.31;672985;12.21;7.21;9.71
Brendan Haywood;5;1981;19;4;CHI;SF;12;555;-1.29;933600;10.96;35.57;9.4
Brendan Haywood;6;1982;16;5;CHI;SF;73;1956;-0.78;873215;9.87;9.95;9.91
Brendan Haywood;7;1983;21;6;CHI;PF;68;3189;-0.78;735556;20.72;11.04;15.88
Brendan Haywood;8;1984;22;7;CHI;PF;21;19;-0.72;793581;28.94;5.79;17.37
Brendan Haywood;9;1985;23;8;CHI;PF;65;-2688;-1.05;910352;22.42;9.22;15.82
Brendan Haywood;10;1986;24;9;CHI;PF;39;997;-1.37;743421;19.2;5.13;12.17
Brendan Haywood;11;1987;25;10;CHI;PF;83;47;-0.54;944403;18.72;10.03;14.38
Brendan Haywood;12;1988;26;14;DET;PF;12;451;-0.47;64484;15.35;5.92;10.64
Brendan Haywood;13;1988;26;11;TOR;SF;33;534;-0.30;743915;-40.21;8.7;11.36
Brendan Haywood;14;1989;27;12;TOR;SF;35;1112;0.50;3941235;12.04;15.39;13.72
Brendan Haywood;15;1990;28;13;NJN;SF;40;1145;-0.29;783881;10.4;3.72;7.06
Brendan Haywood;16;1991;29;14;NJN;SF;24;500;0.17;2622341;14.45;10.5;12.48
Brendan Haywood;17;1992;30;15;NJN;SF;28;1211;0.16;2582374;14.49;3.1;8.72
Brendan Haywood;18;1993;31;16;NJN;SF;81;1609;0.76;4980364;15.61;9.89;12.75
Brendan Haywood;19;1993;31;16;MIL;SF;80;3186;0.07;2222676;13.24;9.0;11.12
Brendan Haywood;20;1993;31;16;ATL;SF;94;771;-0.34;584049;13.8;9.42;11.61
Brendan Haywood;21;1994;32;17;ATL;SF;48;1201;-0.39;384216;11.52;4.6;8.06
Brendan Haywood;22;1995;33;18;ATL;SF;1;44;-0.88;990532;17.89;3.47;10.68
Brendan Haywood;23;1996;34;19;ATL;SF;49;863;-0.84;813989;14.95;7.44;11.2
Brendan Haywood;24;1997;35;20;SAS;SF;1;16;-1.15;880635;21.74;1.92;11.83
Brendan Haywood;25;1998;36;21;SAS;SF;18;359;-1.27;934086;12.82;9.0;10.91
Brendan Haywood;26;1999;37;22;SAS;SF;2;32;0.37;3421671;12.68;4.99;8.84
Brendan Haywood;27;2000;38;23;TOR;SF;11;1324;-0.88;841103;15.23;6.32;10.78
Brendan Haywood;28;2001;39;24;TOR;SF;45;1425;-1.14;668490;13.32;5.93;9.63
Brendan Haywood;29;2002;40;25;SAS;SG;71;1145;-2.07;721957;4.09;-19.69;3.09
Brendan Haywood;30;2003;41;26;SAS;SG;60;2695;-2.52;629277;10.66;7.8;9.23
Brendan Haywood;31;2004;42;27;SAS;SG;29;959;-2.76;656737;14.91;3.81;9.36
Brendan Haywood;32;2005;43;28;SAS;SG;71;453;-2.75;958934;7.33;4.0;5.67
Brendan Haywood;33;2005;43;28;CLE;SG;68;1948;-2.49;747886;11.9;6.38;9.14
Brendan Haywood;34;2006;44;29;CLE;SG;71;3048;-3.00;43311;7.2;3.5;5.35
Brendan Haywood;35;2007;45;30;MIN;SG;40;858;-3.00;732253;11.47;4.77;8.12
Jerome Harmon;1;1979;20;3;MIN;PG;10;358;0.95;5739728;10.14;0.01;5.08
